,availability_30,availability_60,availability_90,availability_365
1854,4,25,41,121
1858,0,0,0,0
1859,0,1,1,153
1861,28,58,88,88
1862,14,42,42,42
1866,11,37,67,342
1867,17,47,77,352
1868,0,0,4,279
1869,2,29,59,251
1872,2,32,62,337
1878,0,0,0,0
1885,30,60,90,117
1886,28,58,88,363
1887,26,50,80,170
1889,0,0,0,0
1893,0,0,0,0
1896,0,0,0,0
1899,0,0,0,0
1903,4,15,32,259
1905,9,25,43,97
1906,30,60,90,365
1908,2,23,46,177
1913,0,0,0,0
1915,7,31,54,231
1917,11,41,71,341
1920,0,0,4,279
1921,0,0,0,0
1922,0,0,0,0
1923,0,0,0,125
1924,16,46,76,351
1928,0,0,2,95
1929,4,34,64,326
1931,0,0,0,0
1932,3,23,46,163
1933,0,0,0,8
1934,0,0,0,0
1936,4,6,35,35
1944,13,43,73,162
1946,0,0,0,126
1947,2,31,61,61
1948,2,4,34,309
1950,1,4,17,57
1952,0,0,0,0
1956,5,35,65,340
1957,8,14,35,35
1958,12,42,72,167
1959,0,0,0,0
1961,12,42,72,72
1962,0,0,0,0
1963,5,35,65,154
1965,4,4,4,147
1969,0,0,0,0
1970,5,5,5,5
1975,0,0,0,14
1976,30,60,90,365
1977,0,0,0,0
1978,1,2,27,247
1979,15,42,72,346
1980,0,0,0,0
1983,3,33,63,338
1984,7,37,67,249
1985,0,7,37,37
1986,2,15,24,174
1987,0,2,32,238
1988,30,60,90,365
1989,0,0,0,217
1991,0,0,0,0
1992,30,58,58,78
1993,0,0,0,0
1995,0,11,11,197
2000,22,52,82,357
2001,0,0,0,0
2002,0,0,0,0
2003,11,28,58,333
2006,3,29,59,334
2007,1,31,60,162
2008,3,13,35,246
2009,18,48,78,353
2013,0,0,0,0
2019,3,33,63,338
2025,1,1,1,1
2027,11,11,11,11
2032,15,45,75,350
2033,4,31,61,61
2035,18,48,78,258
2036,12,12,17,209
2037,15,45,75,350
2038,0,0,13,13
2039,0,0,0,0
2040,2,11,11,11
2043,2,32,62,334
2045,9,39,69,315
2046,0,20,43,169
2047,1,31,61,336
2050,0,0,0,0
2051,0,0,0,0
2055,0,0,0,0
2056,0,0,0,0
2058,8,13,25,25
2059,9,32,62,328
2060,15,45,75,165
2061,0,0,13,13
2062,0,0,0,0
2063,3,30,60,81
2064,0,11,11,11
2065,0,0,0,0
2066,0,0,0,0
2068,30,60,90,365
2075,0,0,0,0
2076,0,0,0,0
2079,3,12,12,182
2081,0,0,0,0
2085,11,11,26,245
2089,7,37,67,342
2091,0,0,0,0
2093,0,19,49,324
2094,0,0,0,0
2096,0,0,0,0
2097,0,0,0,0
2103,0,0,0,0
2104,19,49,79,353
2105,30,40,59,147
2106,10,32,54,306
2107,0,2,32,32
2108,0,0,0,0
2109,0,0,0,0
2111,0,0,0,0
2112,5,35,64,64
2113,1,16,43,223
2114,30,60,90,365
2115,0,0,0,0
2118,0,0,0,0
2120,5,35,65,293
2121,3,28,28,268
2122,12,27,57,332
2123,0,2,32,307
2125,0,0,0,0
2128,30,60,90,365
2129,0,0,0,0
